configuration,mesh_set,arm_part,link,env_part,env_role,tier,aabb_gap_mm,mesh_gap_mm,effective_gap_mm,classification,counts_as_real,q_deg
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Root_Node_Spine_Left,BUS_STRUCTURE,AABB_CLEAR,338.8878,,338.8878,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Root_Node_Spine_Right,BUS_STRUCTURE,AABB_CLEAR,339.1845,,339.1845,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Spacecraft_Flange,ARM_MOUNT_INTERFACE,AABB_CLEAR,96.05,,96.05,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Torsion_Spring_1_Left,BUS_STRUCTURE,AABB_CLEAR,362.097,,362.097,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Torsion_Spring_1_Right,BUS_STRUCTURE,AABB_CLEAR,362.5641,,362.5641,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Torsion_Spring_2_Left,BUS_STRUCTURE,AABB_CLEAR,316.8306,,316.8306,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,Torsion_Spring_2_Right,BUS_STRUCTURE,AABB_CLEAR,317.3643,,317.3643,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,WING_L_STOWED,SOLAR_WING,AABB_CLEAR,232.7143,,232.7143,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link1_LINKLOCAL,link1,WING_R_STOWED,SOLAR_WING,AABB_CLEAR,233.1814,,233.1814,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link2_LINKLOCAL,link2,Adapter_Plate,ARM_MOUNT_INTERFACE,AABB_CLEAR,121.6134,,121.6134,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
STOWED_ENGINEERING_CANDIDATE,STOWED,B51_REF_link2_LINKLOCAL,link2,Aft_Saddle,SADDLE_PLACEHOLDER,AABB_CLEAR,319.6134,,319.6134,CLEAR,False,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]"
