t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.5200,19.477669,1.214917,19.423802,1.034411,1.596178,0.433716,1.836141,0.540958,-0.240812,1.35607566e-04,-2.74698892e-05,-4.16597229e-06,-8.03315719e-07,-6.49075761e-08,-5.57676414e-05,1.73259227e-05,2.43343107e-06,4.45777614e-07,3.63496466e-08,6.31971952e-01,9.32090745e-02,2.09110863e-02,2.99880109e+00,7.64390810e-07,6.835e-16,2.665e-15
0.5300,19.483623,1.237386,19.427743,1.053975,1.596225,0.433377,1.836171,0.648269,-0.322882,1.72121941e-04,-2.00685893e-05,-6.02424486e-07,3.52304883e-07,8.40239061e-08,-8.29326726e-05,1.29076837e-05,4.08767741e-07,-1.84746343e-07,-4.35538694e-08,6.31969695e-01,9.32062543e-02,2.09404002e-02,2.99877814e+00,7.82888217e-07,3.886e-16,3.109e-15
0.5400,19.489603,1.259857,19.431674,1.073541,1.596302,0.433051,1.836183,0.747779,-0.399885,2.07981168e-04,-9.60293862e-06,3.59404123e-06,4.05794344e-07,-8.47477020e-08,-1.09697784e-04,6.56374875e-06,-2.02430420e-06,-2.24637112e-07,4.55243382e-08,6.31975476e-01,9.32053270e-02,2.09282944e-02,2.99878474e+00,8.04329029e-07,4.528e-16,4.441e-16
0.5500,19.495609,1.282331,19.435595,1.093109,1.596388,0.432728,1.836189,0.831579,-0.467285,2.43042365e-04,2.31483902e-06,3.83470093e-06,-7.84255504e-07,7.27604200e-08,-1.35958534e-04,-7.29471724e-07,-2.20542857e-06,4.36150891e-07,-3.64659937e-08,6.31983817e-01,9.32050249e-02,2.09025160e-02,2.99880123e+00,8.24916727e-07,3.331e-16,2.220e-15
0.5600,19.501642,1.304808,19.439505,1.112679,1.596479,0.432406,1.836193,0.890102,-0.519927,2.77167374e-04,1.38576981e-05,-9.98592675e-08,4.73630578e-07,-4.55994316e-08,-1.61611630e-04,-7.85378225e-06,3.84038907e-08,-2.52371346e-07,2.39436401e-08,6.31993183e-01,9.32049824e-02,2.08710794e-02,2.99882184e+00,8.46495979e-07,2.220e-16,2.665e-15
0.5700,19.507700,1.327288,19.443404,1.132252,1.596575,0.432085,1.836193,0.958412,-0.577614,3.10221743e-04,2.32630246e-05,-3.86853811e-06,2.53237992e-07,1.37108353e-08,-1.86556335e-04,-1.37212426e-05,2.23093267e-06,-1.40980602e-07,-4.79442492e-09,6.32003791e-01,9.32052434e-02,2.08330415e-02,2.99884724e+00,8.64620659e-07,1.266e-15,8.882e-16
0.5800,19.513784,1.349771,19.447293,1.151826,1.596663,0.431759,1.836197,1.051667,-0.649547,3.42076134e-04,2.91021849e-05,-3.35872664e-06,-7.35037692e-07,2.20514096e-08,-2.10694280e-04,-1.74399514e-05,1.97922595e-06,4.10235128e-07,-1.17633442e-08,6.32012283e-01,9.32050305e-02,2.08053882e-02,2.99886534e+00,8.77388025e-07,9.975e-16,1.776e-15
0.5900,19.519894,1.372256,19.451172,1.171402,1.596768,0.431440,1.836193,1.159904,-0.730410,3.72605542e-04,3.04968764e-05,8.26077933e-07,5.68744446e-07,-5.00816930e-08,-2.33930639e-04,-1.84500585e-05,-4.15111325e-07,-3.05676457e-07,2.83985554e-08,6.32025000e-01,9.32058150e-02,2.07559741e-02,2.99889900e+00,8.89989100e-07,1.110e-16,4.441e-16
0.6000,19.526030,1.394745,19.455040,1.190981,1.596889,0.431129,1.836177,1.282459,-0.819524,4.01688356e-04,2.72504648e-05,4.07647192e-06,1.00147973e-07,7.05753546e-08,-2.56175406e-04,-1.66085603e-05,-2.31504077e-06,-5.70670357e-08,-3.66293630e-08,6.32042470e-01,9.32077220e-02,2.06821116e-02,2.99895018e+00,9.01044649e-07,5.516e-16,4.441e-16
0.6100,19.532192,1.417236,19.458898,1.210561,1.597004,0.430813,1.836166,1.398638,-0.905091,4.29210215e-04,1.98770558e-05,2.85409361e-06,-6.59887915e-07,-7.52420244e-08,-2.77341643e-04,-1.22082290e-05,-1.65189707e-06,3.69773055e-07,4.06969786e-08,6.32058071e-01,9.32092021e-02,2.06176493e-02,2.99899472e+00,9.12413816e-07,1.665e-16,7.772e-16
