configuration,leaf,full_name,path,resolves_in,suppressed,referenced_config,depth
SERVICE,Harness_Service_Loop_Right-1,Space_Embodied_Service_Spacecraft_V2_2-1/06_Solar_Array_Root_Right-1/Harness_Service_Loop_Right-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\06_Solar_Array_Root_Right\parts\Harness_Service_Loop_Right.SLDPRT,F3R2,False,默认,2
SERVICE,HDRM_Rod_1_Right-1,Space_Embodied_Service_Spacecraft_V2_2-1/06_Solar_Array_Root_Right-1/HDRM_Rod_1_Right-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\06_Solar_Array_Root_Right\parts\HDRM_Rod_1_Right.SLDPRT,F3R2,False,默认,2
SERVICE,HDRM_Base_1_Right-1,Space_Embodied_Service_Spacecraft_V2_2-1/06_Solar_Array_Root_Right-1/HDRM_Base_1_Right-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\06_Solar_Array_Root_Right\parts\HDRM_Base_1_Right.SLDPRT,F3R2,False,默认,2
SERVICE,Torsion_Spring_1_Right-1,Space_Embodied_Service_Spacecraft_V2_2-1/06_Solar_Array_Root_Right-1/Torsion_Spring_1_Right-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\06_Solar_Array_Root_Right\parts\Torsion_Spring_1_Right.SLDPRT,F3R2,False,默认,2
SERVICE,Torsion_Spring_2_Right-1,Space_Embodied_Service_Spacecraft_V2_2-1/06_Solar_Array_Root_Right-1/Torsion_Spring_2_Right-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\06_Solar_Array_Root_Right\parts\Torsion_Spring_2_Right.SLDPRT,F3R2,False,默认,2
SERVICE,Hinge_Pin_Right-1,Space_Embodied_Service_Spacecraft_V2_2-1/06_Solar_Array_Root_Right-1/Hinge_Pin_Right-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\06_Solar_Array_Root_Right\parts\Hinge_Pin_Right.SLDPRT,F3R2,False,默认,2
SERVICE,HDRM_Base_2_Right-1,Space_Embodied_Service_Spacecraft_V2_2-1/06_Solar_Array_Root_Right-1/HDRM_Base_2_Right-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\06_Solar_Array_Root_Right\parts\HDRM_Base_2_Right.SLDPRT,F3R2,False,默认,2
SERVICE,HDRM_Rod_2_Right-1,Space_Embodied_Service_Spacecraft_V2_2-1/06_Solar_Array_Root_Right-1/HDRM_Rod_2_Right-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\06_Solar_Array_Root_Right\parts\HDRM_Rod_2_Right.SLDPRT,F3R2,False,默认,2
SERVICE,02_B601_Mount_and_Load_Path-1,Space_Embodied_Service_Spacecraft_V2_2-1/02_B601_Mount_and_Load_Path-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\02_B601_Mount_and_Load_Path\02_B601_Mount_and_Load_Path.SLDASM,F3R2,False,默认,1
SERVICE,Load_Bridge_Right-1,Space_Embodied_Service_Spacecraft_V2_2-1/02_B601_Mount_and_Load_Path-1/Load_Bridge_Right-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\02_B601_Mount_and_Load_Path\parts\Load_Bridge_Right.SLDPRT,F3R2,False,默认,2
SERVICE,Adapter_Plate-1,Space_Embodied_Service_Spacecraft_V2_2-1/02_B601_Mount_and_Load_Path-1/Adapter_Plate-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\02_B601_Mount_and_Load_Path\parts\Adapter_Plate.SLDPRT,F3R2,False,默认,2
SERVICE,Load_Bridge_Left-1,Space_Embodied_Service_Spacecraft_V2_2-1/02_B601_Mount_and_Load_Path-1/Load_Bridge_Left-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\02_B601_Mount_and_Load_Path\parts\Load_Bridge_Left.SLDPRT,F3R2,False,默认,2
SERVICE,Central_Boss-1,Space_Embodied_Service_Spacecraft_V2_2-1/02_B601_Mount_and_Load_Path-1/Central_Boss-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\02_B601_Mount_and_Load_Path\parts\Central_Boss.SLDPRT,F3R2,False,默认,2
SERVICE,Maintenance_Access_Cover-1,Space_Embodied_Service_Spacecraft_V2_2-1/02_B601_Mount_and_Load_Path-1/Maintenance_Access_Cover-1,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\02_B601_Mount_and_Load_Path\parts\Maintenance_Access_Cover.SLDPRT,F3R2,False,默认,2
