instance,parent,mount_interface,physical_joint_status,source_revision
M5_top_washer_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_bottom_washer_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_nut_1,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_bolt_2,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_top_washer_2,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_bottom_washer_2,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_nut_2,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_bolt_3,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_top_washer_3,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_bottom_washer_3,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_nut_3,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_bolt_4,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_top_washer_4,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_bottom_washer_4,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_nut_4,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_bolt_5,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_top_washer_5,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_bottom_washer_5,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_nut_5,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_bolt_6,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_top_washer_6,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_bottom_washer_6,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_nut_6,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_bolt_7,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_top_washer_7,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_bottom_washer_7,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
M5_interstage_nut_7,ROOT_STRUCTURE,FRAME_ROOT_JOINTS,DESIGN_CANDIDATE_UNVERIFIED,WP02_ROOT_GEOMETRY_REBUILT
e1_anchor_bolt_G01_0,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G01_0,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G01_0,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G01_1,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G01_1,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G01_1,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G02_0,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G02_0,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G02_0,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G02_1,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G02_1,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G02_1,ROOT_STRUCTURE,RB_longeron_-1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_bolt_G03_0,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_washer_G03_0,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
e1_anchor_sleeve_G03_0,ROOT_STRUCTURE,RB_longeron_1_1,DESIGN_CANDIDATE_UNVERIFIED,WP03_PARAMETRIC_DESIGN
